Question,Location,Answer,Count
What do you usually do to make the water safer to drink?,Nyangores,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Nyangores,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Nyangores,Other,1
What do you usually do to make the water safer to drink?,Nyangores,Add bleach/chlorine,8
What do you usually do to make the water safer to drink?,Nyangores,Let it stand and settle,1
What do you usually do to make the water safer to drink?,Nyangores,Don't know,0
What do you usually do to make the water safer to drink?,Nyangores,Boil,25
What do you usually do to make the water safer to drink?,Mutarakwa, ,35
What do you usually do to make the water safer to drink?,Mutarakwa,Use water filter (ceramic),0
What do you usually do to make the water safer to drink?,Mutarakwa,Sand/composite/etc.,1
What do you usually do to make the water safer to drink?,Mutarakwa,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Mutarakwa,Other,0
What do you usually do to make the water safer to drink?,Mutarakwa,Add bleach/chlorine,2
What do you usually do to make the water safer to drink?,Mutarakwa,Let it stand and settle,2
What do you usually do to make the water safer to drink?,Mutarakwa,Don't know,0
What do you usually do to make the water safer to drink?,Mutarakwa,Boil,18
What do you usually do to make the water safer to drink?,Chebunyo, ,23
What do you usually do to make the water safer to drink?,Chebunyo,Use water filter (ceramic),0
What do you usually do to make the water safer to drink?,Chebunyo,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Chebunyo,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Chebunyo,Other,0
What do you usually do to make the water safer to drink?,Chebunyo,Add bleach/chlorine,20
What do you usually do to make the water safer to drink?,Chebunyo,Let it stand and settle,2
What do you usually do to make the water safer to drink?,Chebunyo,Don't know,0
What do you usually do to make the water safer to drink?,Chebunyo,Boil,47
What do you usually do to make the water safer to drink?,Ndaraweta, ,18
What do you usually do to make the water safer to drink?,Ndaraweta,Use water filter (ceramic),2
What do you usually do to make the water safer to drink?,Ndaraweta,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Ndaraweta,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Ndaraweta,Other,3
What do you usually do to make the water safer to drink?,Ndaraweta,Add bleach/chlorine,6
What do you usually do to make the water safer to drink?,Ndaraweta,Let it stand and settle,1
What do you usually do to make the water safer to drink?,Ndaraweta,Don't know,0
What do you usually do to make the water safer to drink?,Ndaraweta,Boil,30
What do you usually do to make the water safer to drink?,Cheseon, ,35
What do you usually do to make the water safer to drink?,Cheseon,Use water filter (ceramic),1
What do you usually do to make the water safer to drink?,Cheseon,Sand/composite/etc.,0
What do you usually do to make the water safer to drink?,Cheseon,Strain through a cloth,0
What do you usually do to make the water safer to drink?,Cheseon,Other,0
What do you usually do to make the water safer to drink?,Cheseon,Add bleach/chlorine,11
What do you usually do to make the water safer to drink?,Cheseon,Let it stand and settle,1
What do you usually do to make the water safer to drink?,Cheseon,Don't know,0
What do you usually do to make the water safer to drink?,Cheseon,Boil,44
